f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,agglutination
2517,1126,58,520,1128,523,1954,72,569,724,1690,1049,593,2111,1823,2091,53,578,739,1959,1366,1098,1178,589,2225,2140,2322,1119,641,55,634,841,2021,1278,1082,809,576,2167,2155,2360,1103,644,774,1909,1368,1145,756,1888,2155,1084,656,1393,1143,821,1116,681,795,6802,8755,1
3157,1851,47,577,1893,533,3070,31,532,581,1688,1876,547,2906,1689,3563,36,504,608,1645,1122,1811,1883,559,2934,1658,3714,1786,1639,32,578,618,1798,1250,1849,1037,562,3049,1819,3865,1781,1641,574,1664,1181,1781,1053,1673,3667,1791,1632,1152,1777,1128,1788,1714,1071,18413,15423,0
7056,3794,101,1251,3905,1342,5309,96,1212,1271,2922,3750,1288,5359,2919,5550,93,1244,1265,3108,2297,2961,3921,1327,5395,3114,5598,2887,2284,111,1342,1319,3135,2232,2896,1812,1301,5393,3206,5657,2905,2342,1305,2979,2376,2865,1737,3036,5330,2932,2329,2249,2989,1854,3010,2312,1689,44619,29560,0
2167,843,47,391,844,400,1195,57,409,508,1136,878,444,1152,1201,1221,46,390,486,1047,859,710,836,425,1234,1152,1098,694,347,57,379,416,947,829,721,694,432,1179,1012,1035,697,369,470,1109,788,670,611,1133,1150,688,350,848,695,637,673,352,672,4345,6266,1
2865,1438,38,468,1464,478,1900,41,508,490,1228,1541,548,1960,1326,2047,41,506,525,1240,1034,1284,1492,472,1952,1207,2176,1266,882,41,562,473,1185,888,1250,999,501,1955,1088,2046,1237,873,484,1252,977,1240,1000,1235,2137,1209,855,964,1268,1006,1305,905,1024,9452,11693,0
2709,1313,79,660,1126,670,2336,63,602,879,2093,1253,673,2265,2280,2632,84,664,852,1904,1479,1159,1088,580,2100,1762,2274,1285,680,58,613,767,1967,1512,1201,851,564,2064,1830,2308,1328,683,754,2016,1351,1151,897,1879,2263,1060,617,1359,1089,831,1248,668,942,6618,8992,1
2133,845,55,449,848,467,1637,46,451,558,1289,806,373,1432,1375,1347,53,457,562,1553,1013,731,936,483,1449,1359,1304,695,370,61,500,683,1503,1092,825,681,493,1563,1665,1676,812,438,645,1326,999,860,623,1301,1473,852,431,982,799,738,805,386,641,4567,6513,1
3674,2029,43,688,1904,664,2593,63,613,637,1506,2110,704,2569,1580,2495,56,638,595,1430,1141,1411,1906,614,2597,1385,2511,1498,1032,52,631,623,1427,1070,1343,1007,675,2510,1431,2469,1409,1041,601,1475,1111,1454,990,1441,2464,1328,1049,1112,1335,999,1404,1003,1004,28245,14260,0
7659,2971,191,1651,3296,1651,4268,208,1661,1640,3012,3062,1777,5061,3484,3907,204,1631,2052,4668,3329,2724,3169,1629,4244,3822,4727,2765,1253,169,1710,2046,3812,2776,2588,2568,1677,4853,4559,4640,2562,1237,1544,3196,3360,2665,2405,2952,3589,2652,1208,2811,2650,2569,2662,1192,2405,15070,22878,1
2955,1649,33,507,1777,552,2396,36,540,535,1500,1606,518,2394,1366,2746,31,485,510,1299,962,1539,1733,497,2431,1418,2897,1496,1246,36,536,487,1451,1039,1531,1118,514,2301,1330,2800,1528,1286,513,1288,950,1470,994,1437,2676,1519,1297,1003,1503,1135,1425,1345,1068,13871,13384,0
3394,1806,65,592,1749,651,2528,55,572,598,1668,1731,605,2393,1462,2587,47,645,531,1450,1071,1429,1810,611,2546,1530,2577,1349,1019,52,594,570,1484,1158,1506,1004,631,2476,1367,2597,1469,1053,638,1472,1104,1431,1055,1670,2792,1441,1058,1167,1459,1030,1445,1044,1079,16698,14010,0
5042,2655,82,893,2735,874,3594,79,935,969,2199,2752,921,3610,2225,4065,84,894,913,2163,1743,2243,2697,965,3551,2161,3861,2242,1630,78,916,866,2215,1720,2235,1659,926,3556,2201,3838,2273,1650,942,2267,1747,2253,1601,2406,4109,2281,1654,1762,2317,1629,2321,1572,1621,21668,20965,1
3555,2169,36,565,2220,581,3210,34,565,613,1577,2196,534,3228,1773,4294,41,538,594,1737,1104,1980,2318,578,3244,1659,4265,1978,2138,42,534,572,1701,1115,2056,1276,558,3302,1709,4236,2042,2133,630,1712,1110,2092,1205,1715,4210,2124,2146,1114,2096,1211,2059,2094,1253,22386,17884,0
207,94,4,55,99,70,330,5,49,121,439,94,39,224,304,395,4,41,81,204,138,103,93,54,241,419,213,91,72,2,60,113,449,233,141,88,81,271,311,294,135,86,104,270,164,132,72,290,315,140,74,162,101,60,87,55,74,743,811,1
3625,1792,58,693,1835,681,2466,60,679,636,1405,1701,679,2509,1495,2633,52,621,741,1765,1222,1599,1871,682,2513,1799,2997,1613,1181,55,650,752,1698,1216,1620,1198,687,2623,1815,2993,1661,1185,644,1478,1307,1715,1188,1513,2639,1634,1139,1244,1606,1195,1605,1107,1162,12969,14340,1
427,324,4,73,254,55,343,4,49,71,214,345,44,379,233,566,6,59,69,220,138,253,246,56,360,172,510,249,266,2,63,60,160,123,245,131,53,368,174,431,241,235,62,205,121,236,197,216,597,259,259,111,245,123,271,244,172,2816,2232,0
243,85,10,49,99,69,281,8,71,110,322,92,42,234,229,204,2,36,93,240,126,105,108,42,204,180,202,98,57,4,54,100,302,156,106,49,49,191,271,200,94,49,75,181,92,89,55,197,166,76,63,85,81,61,103,52,63,1095,849,1
397,363,6,68,169,61,379,3,44,80,233,342,77,381,270,648,2,70,80,176,134,200,175,68,421,180,425,231,217,3,71,54,180,171,197,90,60,402,173,461,236,247,77,285,137,265,178,293,601,199,233,149,192,101,233,210,147,2975,2121,1
4039,2087,63,546,2121,630,2547,40,630,570,1260,2148,592,2581,1363,2868,55,697,618,1508,1098,1769,2254,674,2758,1553,3159,1748,1512,62,598,577,1501,1042,1737,1419,615,2668,1494,3086,1762,1415,589,1402,1048,1762,1353,1441,3142,1813,1511,1200,1857,1426,1828,1568,1378,16677,17566,0
1765,863,52,512,866,500,2000,29,352,695,2147,801,306,1502,2177,1828,26,346,624,2264,972,742,738,386,1614,2069,1561,639,394,41,402,837,2822,1450,882,550,375,1664,2769,2263,942,527,657,2042,1141,826,547,1908,1654,736,414,1094,701,500,621,406,503,5987,6194,1
7617,2889,221,1732,2921,1797,5545,239,1712,2495,5653,2881,1770,5204,5778,4542,246,1718,2662,5924,3974,2402,2974,1733,5533,6217,4791,2357,983,250,1773,2761,6359,4220,2365,2008,1861,5685,6378,5086,2385,990,2550,5633,4371,2459,1957,5474,4688,2531,1070,4187,2392,2067,2375,918,1985,20285,20268,1
5485,2558,84,877,2773,856,3154,84,942,800,1850,2599,860,3060,1808,3276,99,891,733,1915,1400,2143,2808,858,3259,1938,3369,2044,1561,83,908,812,1906,1535,2155,1908,942,3194,1816,3458,2041,1517,822,1724,1518,2042,1805,1875,3275,2096,1593,1585,2166,1957,2180,1516,1843,18059,21226,0
2769,1657,29,392,1695,410,2225,39,418,404,1132,1721,421,2186,1084,2724,25,389,397,1095,742,1325,1716,437,2151,1177,2671,1275,1276,38,388,420,1139,817,1407,838,392,2118,1164,2668,1246,1187,422,1162,783,1234,918,1170,2713,1352,1209,824,1289,866,1365,1259,837,20568,13450,0
4217,1819,85,915,1839,914,3301,91,851,1116,2942,1820,837,2340,1979,3083,88,852,914,1584,1420,1503,1815,877,3226,2363,2435,1511,875,99,825,950,2313,2170,1737,1342,824,2452,1806,2603,1694,935,1052,1983,1398,1510,1416,3155,2945,1577,864,2079,1681,1364,1626,865,1431,10072,13901,1
2651,1587,34,385,1650,364,2120,28,380,370,1073,1615,409,2031,995,2511,32,425,363,1051,728,1354,1642,396,2094,1123,2752,1348,1290,30,402,387,1153,772,1330,955,394,2031,1106,2576,1391,1339,362,957,670,1345,981,1048,2593,1366,1358,779,1362,957,1276,1375,957,14825,12931,0
4171,2356,63,712,2276,688,2744,51,652,583,1528,2290,679,2729,1554,3126,79,652,585,1653,1240,1838,2289,679,2809,1605,3375,1899,1439,38,609,590,1636,1216,1891,1527,643,2611,1600,3274,1947,1523,598,1509,1215,1839,1435,1548,3143,1826,1485,1216,1842,1488,1911,1474,1498,15776,17949,0
5529,2168,127,1254,2343,1215,5147,156,1298,2319,6389,2260,1378,5063,5975,4398,138,1302,2574,6637,3727,1931,2176,1179,5004,7191,5110,2007,920,141,1281,2308,6864,3695,1905,1524,1254,4630,6096,4506,1924,845,2184,6181,3489,1859,1457,6599,4221,1866,832,3622,1973,1445,2023,829,1550,18270,15737,1
1013,695,17,115,753,116,1108,10,99,139,410,729,96,1148,422,1730,17,116,113,425,243,647,787,136,1176,420,1748,645,955,8,91,115,424,223,629,307,108,1151,484,1877,622,977,152,493,268,649,283,530,1793,671,987,282,675,316,632,971,316,10857,5922,0
1718,1034,20,297,1045,322,1568,24,330,315,1012,1066,329,1451,857,1895,17,299,312,843,591,930,1019,286,1554,878,1926,935,793,27,295,334,951,648,888,565,306,1525,855,1902,964,814,325,850,588,946,557,870,1790,888,807,616,882,563,896,770,556,10851,8530,0
1240,805,9,167,832,164,1200,12,137,146,486,795,145,1180,442,1426,8,148,155,511,261,544,887,172,1199,529,1583,503,672,13,160,166,582,270,560,236,175,1180,513,1585,546,719,145,488,285,548,248,495,1471,551,683,278,565,252,560,657,226,17398,6376,1
224,65,4,26,101,30,133,7,64,48,167,98,36,185,127,136,6,57,113,329,143,89,131,61,300,382,281,88,62,3,43,54,194,99,70,70,60,152,171,132,66,50,68,148,78,71,48,197,191,82,51,201,115,108,111,71,59,614,699,1
1170,625,11,201,752,223,944,13,230,214,457,614,194,978,469,836,18,201,214,514,318,406,762,250,917,484,833,366,342,21,188,201,498,260,351,172,224,963,532,873,337,298,188,431,300,370,125,440,804,409,332,288,383,170,358,320,138,13410,5085,0
412,255,5,59,405,72,475,5,73,53,194,258,65,484,170,625,5,56,77,330,155,309,428,78,476,349,1005,285,352,4,59,91,333,157,323,211,58,552,370,1016,311,355,65,208,166,300,117,180,604,331,374,175,326,225,288,356,114,3889,2536,0
